ID	Markup	Left column	Main column	Pounds	Shillings	Pence
2831	tr		more for 3 clark[es] allowed him for [th]e same time at 2s p[er] diem each	9	-	-
2832	tr		more p[ai]d him from [th]e 29 may inclusive to [th]e 28 June inclusive	10	-	-
2833	tr		more for 3 clark[es] [th]e same time	9	-	-
2834	tr	132	p[ai]d [th]e 12 november 1642 to Comissary Fastaff in part of a warr[an]t of 150l w[hi]ch he hath in his hand[es] for and toward[es] payment of the drawght horses as by his acquittance appear[es]	40	0	0
2835	close table		delivered m[aste]r Broad the warr[antes] of this month being 106 R[e]t[urn[ed] [th]e 10 [Octo]bre 1643. No 16	474485	5	3
2836	head		No = 16			
2837	pb		69v			
2838	table (single row)		Sommeth [th]e payment[es] on the oth[er] side	474485	5	
2839	head		Julie 5 1643			
2840	table (single row)	56	p[ai]d Capt[ain] Edward Clarke for 14  dayes paye for himself & 29 troop[er]s & more for 8 troop[er]s according to [th]e warrent	103	-	-
2841	head		12 [July 1643]			
2842	open table	110	p[ai]d Capt[ain] Francis Ingoldesby for 14 dayes pay for himself officers & 43 troop[er]s end[ing] [th]e 14 June	137	4	0
2843	tr	125	p[ai]d Coll[onel] John midleton the like for his troop & 65 troop[er]s end[ing] 10 Julie	184	8	-
2844	tr	83	p[ai]d Capt[ain] symon Rudglie the like for the officers & 50 troop[er]s end[ing] 9 Julie	153	6	0
2845	tr	21	p[ai]d Captaine Anselm the like & for 88 cuirassiers end[ing] 9 Julie	270	11	-
2846	tr	183	p[ai]d Capt[ain] Jo[hn] Andrewes for 14 dayes pay of his troop uppon accompt	174	13	-
2847	tr	18	p[ai]d Capt[ain] Thomas sheffeild Capt[ain] of that troope w[hi]ch belongd to major Gunter for 14 dayes pay for [th]e officers & 80 troop[er]s end[ing] 16 Julie	209	13	-
2848	tr	78	p[ai]d Nicholas Bond Commissary of [th]e victuall[es] for pay of himself & officers uppon accompt	145	6	5
2849	tr	27	p[ai]d Capt[ain] Hale for 14 dayes pay for his troop being 55 besid[es] officers end[ing] 10 July	160	8	0
2850	tr	171	p[ai]d Capt[ain] Robotham [th]e like for 60 troop[er]s end[ing] 29 June	174	13	0
2851	tr	75	p[ai]d Coll[onel] Jo[hn] meldrom [th]e like for his troop of 60 troop[er]s end[ing] 10 Julie	172	11	-
2852	tr	56	p[ai]d Capt[ain] Edward Clerke the like for his officers & 27 troop[er]s uppon accompt	78	15	0
2853	tr	16	p[ai]d C[aptain] Evelin the like for his officers & 27 troop[er]s end[ing] 10 Julie	100	2	0
2854	tr	37	p[ai]d S[i]r Phillip stapleton for 14 days for the officers & ninty Cuirassiers of my lord g[e]n[era]ll[es] lieff guard end[ing] 18 July	639	11	-
2855	tr	44	p[ai]d Capt[ain] Richard Greenvill for 14 days for his officers & 62 troop[er]s end[ing] [th]e 7 pres[en]t	176	1	-
2856	tr	12	p[ai]d Coll[onel] Richard Browne for 14 days for his officers & 46 troop[er]s end[ing] 6 Julie	148	7	-
2857	tr	157	p[ai]d Capt[ain] Cross for 14 dayes for his officers & 84 troop[er]s end[ing] 16 present	216	13	0
2858	tr	128	p[ai]d Coll[onel] Dolbier for 14 dayes for his offic[er]s & 17 troop[er]s end[ing] 17 June	93	26	-
2859	close table			477823	18	8
2860	pb		70r			
2861	table (single row)		Sommeth [th]e payment[es] on the other side	477823	18	8
2862	head		Julie 12 1643			
2863	open table	169	p[ai]d Capt[ain] Gilbert Carr for 14 dayes for his officers & 61 troop[er]s end[ing] 10 Julie	176	8	0
2864	tr	130	p[ai]d major Botteler for 14 dayes pay for the officers & sold[ier]s of my lord g[enera]ll[es] Regi[men]t end[ing] 29 June	722	11	-
2865	tr	180	p[ai]d Capt[ain] James Innes for 14 dayes pay for his officers & 54 troop[er]s end[ing] [th]e 9 pres[ent]	152	19	-
2866	tr	172	p[ai]d Capt[ain] Charles Pime for 14 dayes for his officers & 63 troop[er]s end[ing] [th]e 6 Julie	178	3	0
2867	tr	161	p[ai]d C[aptain] Thomas maynard for 14 dayes for his officers & 36 dragoon[er]s end[ing] 7 July	67	4	0
2868	tr	136	p[ai]d major gen[era]ll skippon for 14 dayes for [th]e officers & 657 sold[ier]s of his Regi[men]t end[ing] 29 June	639	18	0
2869	tr	45	p[ai]d Capt[ain] Thomas Tirrell for 14 days for his officers & 78 troop[er]s end[ing] 7 July	204	8	0
2870	tr	15	p[ai]d Coll[onel] Goodwine for 14 dayes for his officers & 79 troop[er]s end[ing] 19 Julie	273	10	6
2871	tr	7	p[ai]d [th]e lord wharton [th]e like & 82 troop[er]s end[ing] 6 Julie	209	6	0
2872	tr	36	p[ai]d S[i]r Robert Pye [th]e like & 68 troop[er]s	190	15	0
2873	tr	15	p[ai]d m[aste]r Edward Perkins Chaplain to Coll[onel] Goodwins Regi[men]t [th]e remainer of a warr[ant] of [th]e 26 maye	27	12	6
2874	tr	47	p[ai]d Capt[ain] oliver Cromwell for 14 dayes for his officers & 50 troop[er]s uppon acc[oun]tt	153	13	0
2875	tr	154	p[ai]d Coll[onel] Bulstrood for 14 dayes pay for his officers & 505 sold[ier]s of his Regim[en]t end[ing] 9 Julie	504	18	8
2876	tr	137	p[ai]d Coll[onel] Holborn the like for officers & 377 sold[ier]s of his Regi[men]t end[ing] 29 June	445	4	8
2877	tr	136	p[ai]d major G[e]n[era]ll skippon for waggon monie for his Regi[men]t	220	0	0
2878	tr	92	p[ai]d S[i]r samuell luke toward[es] defrayinge of Charges for scout[es]	200	0	0
2879	tr	132	p[ai]d Coll[onel] Holmstead for 14 dayes pay for [th]e officers & 462 sold[ier]s of his Regi[men]t end[ing] 29 June	477	18	0
2880	tr	63	p[ai]d Capt[ain] Thomas Hammond for 14 dayes for his officers & 88 troop[er]s end[ing] 9 Julie	223	13	0
2881	tr	167	p[ai]d C[aptain] Richard Fines [th]e like & 58 troop[er]s end[ing] 9 present	171	3	-
2882	tr	122	p[ai]d Coll[onel] James Ramsey the like & for 49 troop[er]s end[ing] 16 present	153	6	0
2883	tr	45	p[ai]d Coll[onel] Tirrell for [th]e officers & 650 sold[ier]s of his Regim[en]t for 14 dayes end[ing] 5 Julie	590	11	4
2884	tr	142	p[ai]d Coll[onel] Berkley [th]e like for [th]e office[r]s & 636 sold[ier]s of his Regi[men]t from [th]e 16 June	564	4	-
2885	close table			484371	5	4
2886	pb		70v			
2887	table (single row)		Sommeth [th]e payment[es] on the other side	484371	5	4
2888	head		Julie 12 1643			
2889	open table	8	p[ai]d Captaine James Sheffeild for 14 days paye of his troope of 70 troop[er]s besid[es] officers end 6 Julie	194	18	-
2890	tr	127	p[ai]d S[i]r Edward Peyto for 14 dayes pay for his compa[ny] of Fierlock[es] end[ing] 29 June	43	1	-
2891	tr	188	p[ai]d Capt[ain] Hugh Phillips on of the Capt[ain]s of S[i]r henry Cholmlies Regi[men]t for 14 days pay for himself as Capt[ain]	10	10	-
2892	close table	5	p[ai]d Thomas Shemond[es] surgeon of my lord G[e]n[era]ll[es] Reg[imen]t of horse for a whole monthes pay for himself & mates uppon acc[oun]tt	16	6	-
2893	head		13 Julie [1643]			
2894	open table	159	p[ai]d Capt[ain] Robert Hardy for 14 dayes pay for his officers & 86 dragoon[er]s ending 7 Julie	124	19	-
2895	tr		p[ai]d Thomas Cooke markemaster to the army for 14 dayes pay for himself & 4 servant[es] uppon acc[oun]tt	21	0	0
2896	tr	174	p[ai]d sergeant major Baines for 16 dayes pay end[ing] 9 Julie for [th]e officers & 90 dragoon[er]s	139	9	6
2897	tr	187	p[ai]d Major walter Floyd for [th]e officers & 458 soldiers of S[i]r Jo[hn] meldrums Regi[men]t for 14 dayes end[ing] 29 June	429	13	8
2898	tr	40	p[ai]d S[i]r John merricke for 14 dayes pay as gennerall of the ordinance end[ing] 23 febr[uary]	70	-	-
2899	tr	40	more as Coll[onel] & captaine of a of a Regi[men]t & compa[ny] of foot for 14 dayes pay to beginn [th]e 21 Janu[ary]	31	10	-
2900	tr	65	p[ai]d S[i]r Edward dodsworth Commissary g[enera]ll of the musters of horse for 14 days pay for him & his deputies end[ing] 5 June	17	10	-
2901	tr	132	p[ai]d Anthony Fastaff Commissary of the draft horses for 14 dayes pay for [th]e wagoners & draft horses uppon accompt	700	0	0
2902	tr	122	p[ai]d Capt[ain] Bosa for 14 days pay for the officers & 54 troop[er]s end[ing] 6 Julie	164	3	-
2903	tr	163	p[ai]d major Boswell the like for his officers & 64 troopers end[ing] 10 Julie	181	13	0
2904	tr	30	p[ai]d Coll[onel] Ballard for 14 dayes pay for [th]e officers & 275 sold[ier]s of his Regi[men]t beginning [th]e 16 June	337	3	-
2905	close table		exam[in]ed	486853	11	6
2906	pb		71r			
2907	table (single row)		Sommeth [th]e paym[entes] on the other side	486853	11	6
2908	head		13 Julie 1643			
2909	open table	188	p[ai]d leifft[enant] Coll[onel] Palleologus in part of arrears due unt[o] him uppon accompt as major & capt[ain] of Foot in Coll[onel] Thomas Essex Regi[men]t	100	0	0
2910	tr	119	p[ai]d major w[illia]m urrey for 14 days pay for his officers & 63 troop[er]s end[ing] 9 Julie	165	4	0
2911	tr	30	p[ai]d Coll[onel] Ballard in part of monie due to him uppon accompt	100	0	0
2912	tr	186	p[ai]d Captaine Jams Innes cap[tain] of a troope of horse wounded for 14 dayes pay uppon accompt	27	6	-
2913	tr	92	p[ai]d S[i]r Sam[ue]ll luke for 14 dayes pay for his officers & 81 troop[er]s end[ing] 10 July	211	8	0
2914	tr	122	p[ai]d S[i]r James Ramsey for allowance of 5 troop[er]s as by [th]e warr[an]t	17	10	0
2915	tr	46	p[ai]d S[i]r w[illia]m Constable for [th]e officers & 662 sold[ier]s of his Regi[men]t according to [th]e warr[ant]	520	8	0
2916	tr	51	p[ai]d Coll[onel] walter Long for 14 dayes pay for [th]e officers & 80 troop[er]s end[ing] [th]e 5 July	180	5	0
2917	tr	49	p[ai]d [th]e lord Robert[es] for 14 dayes pay of his Regi[men]t as by [th]e warrant	469	9	-
2918	tr	136	p[ai]d major g[e]n[era]ll skippon for 14 dayes for his troop of 80 besid[es] officers end[ing] [th]e 16 Julie	224	7	-
2919	tr	140	p[ai]d Coll[onel] Langham for 14 dayes pay for his Regiment as by [th]e warr[an]t	535	8	10
2920	tr	149	p[ai]d C[aptain] w[illia]m Cheese & Richard Hodgson cap[tains] of pioners for 14 dayes pay for themselves & 26 menn ending [th]e 11 Julie	18	4	0
2921	tr	127	p[ai]d S[i]r Edward Peyt[o] for 1/2 a mo[nths] pay for [th]e traine of Artigliry uppon accompt	724	15	8
2922	tr	188	p[ai]d Capt[ain] w[illia]m Andrew late capt[ain] of a compa[ny] in S[i]r Henry Cholmlies Regi[men]t for 14 daies pay as capt[ain] uppon acc[oun]tt	10	10	0
2923	tr	189	p[ai]d Capt[ain] Fleetwood for 14 dayes pay for his officers & troope uppon acc[oun]tt	197	8	0
2924	tr	189	p[ai]d C[aptain] Harison for 14 dayes pay for his officers & 62 troop[er]s end[ing] 6 Julie	174	6	-
2925	tr	109	p[ai]d Capt[ain] Lionel Copley for 14 dayes pay for his officers & 72 troop[er]s uppon acc[oun]tt	193	18	0
2926	tr	154	p[ai]d leifft[enant] Abracrommy for 14 dayes pay for 100 drago[ons] of Capt[ain] dundass his troop now prisoner	127	8	0
2927	close table			490851	7	0
2928	pb		71v			
2929	table (single row)		Sommeth [th]e paym[entes] on the other side	490851	7	0
2930	head		Julie 13 1643			
2931	open table	[...]	p[ai]d mathew Broad surgeon to [th]e traine of Artigliry toward[es] supply of his chest	15	0	0
2932	tr	110	p[ai]d leifft[enant] Coll[onel] Barriff for 14 dayes pay for [th]e Regi[men]t late under Command of Coll[onel] Hambden as by [th]e warr[an]t	705	3	4
2933	tr	15	p[ai]d major Belfour for 14 dayes pay for the officers & 56 troop[er]s endinge [th]e 16 Julie	167	13	0
2934	tr	33	p[ai]d S[i]r w[illia]m Balfour the like for offic[er]s & 82 troop[er]s  end[ing] 9 Julye	276	10	-
2935	tr	190	p[ai]d Capt[ain] w[illia]m Butler C[aptain] John wheler C[aptain] Thomas weelin L[ieutenan]t Thomas Apleby l[ieutenan]t Humphrey Caroll Ens[ign] Fra[ncis] Carey Ens[ign] Fra[ncis] lister, Ens[ign] Henry Cony Ens[ign] mathew williams Ens[ign] James llewellen & Ens[ign] Jo[hn] Holt officers in the late Regi[men]t of S[i]r Henry Cholmlie for ther pay for 14 dayes uppon accompt	49	14	-
2936	tr	174	p[ai]d Capt[ain] Thomas Melve for 14 dayes pay for his officers & 60 dragoon[er]s to end the 7 Julie	97	13	-
2937	tr	106	p[ai]d major Blare for 14 dayes for his officers & 53 troop[er]s end[ing] 16 July	160	6	0
2938	tr	98	p[ai]d Captaine drap[e]r the like for his officers & 62 troop[er]s end[ing] 16 Julye	165	11	-
2939	tr	49	p[ai]d Capt[ain] Pudsey for 1/2 a mo[nths] pay for himself & 30 halberdiers of my lord[es] guard	45	10	-
2940	tr	170	p[ai]d Capt[ain] salkild for 14 dayes pay for his officers & 88 troop[er]s end[ing] [th]e 9 July	223	18	0
2941	tr	18	p[ai]d m[aste]r symond[es] Chaplaine to Coll[onel] midletons Regi[men]t for 14 dayes pay for himself & servant	6	0	8
2942	tr	15	p[ai]d m[aste]r Thurston surgeon to Coll[onel] Goodwins Regi[men]t for 14 dayes pay for himself mates & Bidet[es]	8	8	0
2943	tr	190	p[ai]d Captain Robert Bilingslye C[aptain] of a foot compa[ny] in Coll[onel] Fra[ncis] Tomsons Regi[men]t for 14 dayes for himself officers and 100 sold[ier]s uppon accompt	67	13	4
2944	tr	23	p[ai]d m[aste]r Robert semple Champlaine to Coll[onel] Jo[hn] meldroms Regi[men]t for 14 dayes for him & his servant ending [th]e 10 Julie	6	1	4
2945	close table		ex[amined]	492846	8	8
2946	pb		72r			
2947	table (single row)		Sommeth [th]e paym[entes] on the other side	492846	8	8
2948	head		13 Julie [1643]			
2949	open table	191	p[ai]d m[istres]s Brummage late wiffe of Capt[ain] Thomas Brumadge deceased Capt[ain] of a compa[ny] of foot in Coll[onel] Ballard[es] Regi[men]t for pay due to him ending 4 maye	16	10	0
2950	tr	176	p[ai]d Capt[ain] Rutherford C[aptain] david Hunter capt[ain] Abernaithy and C[aptain] Rob[er]t Hunter 4 C[aptain] reformados of foot for 14 days pay ending 16 June	42	0	0
2951	tr	176	p[ai]d Capt[ain] James Barkley capt[ain] reformado of horse for 14 dayes pay 27l.6.0			
2952	tr		p[ai]d Robert more Capt[ain] of horse 27.6.0			
2953	tr		p[ai]d Capt[ain] straham [th]e like 27.6.0			
2954	tr		p[ai]d Capt[ain] Rob[er]t phinn C[aptain] of drag[oons] 14.0.0			
2955	tr		p[ai]d C[aptain] John Chisam C[aptain] of foot 10.10			
2956	tr		p[ai]d C[aptain] Georg simpson C[aptain] of foot 10.10			
2957	tr		Capt[ain] Peeter kirkady C[aptain] of foot 10.10			
2958	tr		Capt[ain] Jo[hn] Easten Cap[tain] of foot 10.10			
2959	tr		Cornet James Fine Cornet of horse 9.9	147	7	-
2960	tr	175	p[ai]d C[aptain] Fra[ncis] midleton & C[aptain] Hercules langrish Captains of 2 compa[nies] of dragoon[er]s for ther paye for 14 dayes end[ing] 7 Julie	126	10	-
2961	tr	142	p[ai]d Coll[onel] Alexander Barkley reformado for 14 dayes pay as Coll[onel] uppon accompt	21	0	0
2962	tr	43	p[ai]d Capt[ain] Fra[ncis] Tomson as Capt[ain] of a troop of horse for 14 dayes for his officers & 60 troop[er]s in part of a warr[an]t of 174.13	100	0	0
2963	tr	165	p[ai]d Capt[ain] Edward Saund[er]s in part of a warr[an]t of 181.16.0 for 15 dayes paye for 65 troop[er]s ending [th]e 13 Julie	100	0	0
2964	tr	5	p[ai]d samuel wade provost marshall of my lord g[e]n[era]ll[es] Regi[men]t of horse for 14 dayes pay of himself & 2 menn end[ing] 11 July	7	0	0
2965	tr	169	p[ai]d John Pinade Cornet to Capt[ain] Carr uppon accompt	10	0	0
2966	tr	176	p[ai]d John Barkley a reformado Capt[ain] of Foot for 1/2 a mo[nths] pay uppon acc[oun]tt	10	10	0
2967	tr	50	p[ai]d Coll[onel] Henry Billinglsy asistant to [th]e serg[ean]t major g[e]n[era]ll for 1/2 a monthes pay uppon accompt	21	0	0
2968	tr	22	p[ai]d mons[ieu]r de Boys quarterm[aste]r g[e]n[era]ll of Foot for 1/2 a months pay uppon accompt - d[elivere]d to m[aste]r Broad [th]e 10 October [th]e warr[antes] of Julie being - 97 - R[eturne]d backe	31	10	-
2969	tr			493479	15	8
2970	tr	109	p[ai]d Captaine vernon deputy thre[asurer] of [th]e Army for his pay and entertainm[en]t from [th]e 28 June to [th]e 27 July 30 dayes at 6s.8 p[er] die[m]	10	0	0
2971	tr		more for 3 clark[es] allowed him for [th]e same time	9	-	-
2972	close table			493798	15	8
2973	head		No. 17			
2974	pb		72v			
2975	table (single row)		Sommeth [th]e paym[entes] on the other side	493498	15	8
2976	head		15 August [1643]			
2977	table (single row)		p[ai]d Georg Embre & walt[er] denton wounded troop[er]s at Kenton for ther arrears	33	0	0
2978	head		16 [August 1643]			
2979	open table	132	p[ai]d Anthony Fastaff uppon accompt of the draft horses	350	0	0
2980	tr	130	p[ai]d major Bottelor for 7 dayes pay for my lord g[e]n[era]ll[es] Regi[men]t	335	6	6
2981	tr	49	p[ai]d for 7 dayes pay for my lord Robert[es] Regi[men]t	215	10	10
2982	tr	170	p[ai]d Capt[ain] will[iam] salkild for 7 daies pay for his troope	108	6	6
2983	tr	25	p[ai]d C[aptain] Hercules langrish the like for his troop of dragoon[er]s	28	10	6
2984	tr	161	p[ai]d C[aptain] Thomas mainard the like	48	6	0
2985	tr	127	p[ai]d S[i]r Edward Peto for 7 dayes for [th]e traine of Artigliry uppon accompt	362	7	6
2986	tr	109	p[ai]d Comissary Coply for 7 daies pay for his troope of Harquebusiers	94	6	6
2987	tr	142	p[ai]d Coll[onel] Barkeley for 7 dayes pay for his Regi[men]t	231	17	4
2988	tr	127	p[ai]d S[i]r Edward Peto for his compa[ny] of fierlock[es] from [th]e 29 June to [th]e 6 Julie	21	10	6
2989	tr	137	p[ai]d Coll[onel] Holborne for 7 dayes pay for his Regi[men]t	193	9	10
2990	tr	36	p[ai]d C[aptain] Rob[er]t Pye for 7 dayes pay for his troope	93	12	6
2991	tr	33	p[ai]d S[i]r w[illia]m Balfour for 7 dayes pay for his [^troop^]	134	1	-
2992	tr	175	p[ai]d C[aptain] Fra[ncis] midleton for 7 days for his compa[ny] of dragoon[er]s	36	4	4
2993	tr	45	p[ai]d Capt[ain] Terrill for 7 days pay for his troop	103	19	6
2994	tr	106	p[ai]d major Blare [th]e like for his troope	82	1	6
2995	tr	147	p[ai]d Coll[onel] Aldrich for 7 days pay for the Regi[men]t that was S[i]r Jo[hn] meldroms	212	13	8
2996	tr	151	p[ai]d C[aptain] withers for 7 days pay for his troop	58	16	0
2997	tr	46	p[ai]d C[aptain] James Grey for 7 days pay for [th]e Regi[men]t late S[i]r w[illia]m Constables	198	19	6
2998	tr	156	p[ai]d Major Balfour for 7 dayes for his troop	88	4	-
2999	tr	47	p[ai]d C[aptain] oliver Cromwell for 7 days for his troop	89	1	6
3000	tr	171	p[ai]d C[aptain] Robotham the like for his troope	83	16	6
3001	tr	7	p[ai]d the lord wharton [th]e like for his troope	82	12	-
3002	tr	15	p[ai]d Coll[onel] Goodwine the like for his troope	105	14	-
3003	tr	49	p[ai]d C[aptain] Pudsey the like for my lord g[e]n[era]ll[es] halberdiers	22	15	-
3004	tr	27	p[ai]d C[aptain] John Hale for 7 dayes for his troop	80	6	0
3005	close table			496994	14	8
3006	pb		73r			
3007	table (single row)		Sommeth [th]e paym[entes] on the other side	496994	14	8
3008	head		16 Aug[us]t [1643]			
3009	open table	163	p[ai]d major Boswell for 7 dayes pay for his troope	90	3	-
3010	tr	125	p[ai]d Coll[onel] midleton [th]e like for his troope	96	1	6
3011	tr	148	p[ai]d C[aptain] Richard Hodgson & C[aptain] w[illia]m Cheese for 7 dayes pay for the Pioneers	9	2	-
3012	tr	136	p[ai]d major g[e]n[era]ll skippon for 7 dayes pay for his Regi[men]t	263	1	8
3013	tr	154	p[ai]d major Fortescue for 7 dayes pay for the Regi[men]t late Coll[onel] Bulstrood[es]	248	0	8
3014	tr	136	p[ai]d major g[e]n[era]ll skippon for 7 dayes for his troope	97	6	0
3015	tr	122	p[ai]d Ca[ptain] Sam[ue]ll Bosa the like for his troope	82	1	6
3016	tr	18	p[ai]d C[aptain] Thomas sheffeild the like for his troope	76	16	6
3017	tr	45	p[ai]d Coll[onel] Thomas Terrill for 7 days pay for his Regi[men]t	223	6	0
3018	tr	174	p[ai]d Ca[ptain] Thomas melve for 7 days pay for his compa[ny] of dragoon[er]s	42	10	6
3019	tr	75	p[ai]d Coll[onel] Jo[hn] meldrom for 7 daies pay for his troope	74	14	6
3020	tr	98	p[ai]d C[aptain] mathew drap[er] for 7 dayes pay for his troope	81	10	-
3021	tr	173	p[ai]d Cap[tain] Baynard for 7 days pay for his troop	86	0	6
3022	tr	132	p[ai]d for 7 days pay for Coll[onel] Holmsted[es] Regi[men]t	227	6	6
3023	tr	37	p[ai]d S[i]r Phillip stapleton for 7 days pay for [th]e gentlemen of the leiffguard	332	0	8
3024	tr	51	p[ai]d Coll[onel] walter long for 7 dayes paye for his troope	97	16	6
3025	tr	23	p[ai]d mathew miller provost marshall of Coll[onel] meldroms Regi[men]t for 7 days pay	3	10	-
3026	tr	23	p[ai]d Thomas lugg surgeon [^to^] the said Regi[men]t	3	10	-
3027	tr	50	p[ai]d Coll[onel] Billingsly assistant to [th]e major g[e]n[era]ll for 7 days pay	10	10	-
3028	tr	157	p[ai]d C[aptain] Richard Cross for 7 days pay for his troope	103	1	6
3029	tr	30	p[ai]d Coll[onel] Ballard for 7 dayes pay for his reg[imen]t	193	8	8
3030	tr	190	p[ai]d Ca[ptain] Rob[er]t Billingsly for pay of his foot compa[ny] in Coll[onel] Tomsons Regi[men]t uppon acc[oun]t	29	3	4
3031	tr	110	p[ai]d leifft[enant] Coll[onel] Barriff[es] compa[ny] for 7 days pay	15	5	8
3032	tr	191	p[ai]d C[aptain] Rob[er]t Jermy for 7 days pay for his troop	78	8	0
3033	tr	189	p[ai]d Henry stevans for 7 days pay for my lord Gray of wark[es] troope	46	11	-
3034	close table		thus far the warr[antes] & acc[oun]tt[es] wear sent to lond[on]	499606	0	10
3035	pb		73v			
3036	table (single row)		Sommeth [th]e paym[entes] on the other side	499606	0	10
3037	head		at Kingston 17 Aug[us]t [1643]			
3038	open table	63	p[ai]d Capt[ain] Thomas Hamon for 7 days pay for his troope	94	10	6
3039	tr	192	p[ai]d C[aptain] Edward Fines the like	81	18	-
3040	tr	122	p[ai]d S[i]r James Ramsey the like	74	0	6
3041	tr	167	p[ai]d C[aptain] Richard Fines the like	81	18	-
3042	tr	189	p[ai]d C[aptain] Charles Fleetwood the like	82	8	-
3043	tr	169	p[ai]d C[aptain] Gilbert Carr the like	82	1	6
3044	tr	21	p[ai]d C[aptain] Anselme the like	140	3	6
3045	tr	192	p[ai]d Charles Fanthon the like	66	3	-
3046	tr	193	p[ai]d C[aptain] w[illia]m Gray the like	83	13	-
3047	tr	189	p[ai]d C[aptain] Thomas Harison the like	64	4	-
3048	tr	110	p[ai]d C[aptain] Fra[ncis] Ingoldesby the like	73	7	-
3049	tr	193	p[ai]d leifft[enant] Coll[onel] Carlton for 7 days pay for Coll[onel] Carltons Regi[men]t	213	15	10
3050	close table	92	p[ai]d S[i]r sam[ue]ll luke [th]e like for his troope	100	9	-
3051	head		18 Aug[us]t [1643]			
3052	open table	160	p[ai]d C[aptain] Evelin the like	47	8	6
3053	tr		p[ai]d Rob[er]t Bulmer scout for 7 daies	6	9	6
3054	tr	65	p[ai]d S[i]r Edward dodsworth for 7 days	8	15	-
3055	tr	195	p[ai]d Thomas Cooke markemaster	21	0	0
3056	tr	43	p[ai]d Coll[onel] Tomson for his troope for 7 days	82	1	6
3057	tr	172	p[ai]d C[aptain] Charles Pimm the like	98	14	0
3058	tr	194	p[ai]d C[aptain] Bussy Basset for 45 soldiers in S[i]r Jo[hn] meldroms Regi[men]t	7	10	-
3059	tr	142	p[ai]d leifft[enant] morrice Bowen leifft[enant] of that compa[ny] wherof L[ieutenant] C[olone]ll Burly was capt[ain] for remainer of pay as leifft[enant]	2	16	-
3060	tr	183	p[ai]d C[aptain] John Andrews for 7 days pay of his troope	80	13	6
3061	tr		p[ai]d Rob[er]t wood on of the Phisitions of the Army for 21 days pay from [th]e 6 Feb[ruary] to [th]e 26 d[i]tt[o]	10	10	0
3062	tr	45	p[ai]d Coll[onel] Thomas Terrill for pay of his Regi[men]t at Alisbury uppon acc[oun]tt	300	-	-
3063	tr	44	p[ai]d Richard Greenvill for 7 days pay for his troop	82	19	-
3064	tr	18	p[ai]d m[aste]r John symond[es] Chaplaine to Coll[onel] midletons Regi[men]t for 7 days	3	12	8
3065	tr	5	p[ai]d samuel wade provost marshall of my lord g[e]n[era]ll[es] Regi[men]t of horse for 7 days	3	10	-
3066	tr	23	p[ai]d m[aste]r Rob[er]t semple Chaplaine of S[i]r John meldroms Regi[men]t for 7 days	3	0	8
3067	close table		exam[ine]d	501600	1	0
3068	pb		74r			
3069	table (single row)		Sommeth [th]e paym[entes] on the other side	501600	1	0
3070	head		18 August 1643			
3071	open table	5	p[ai]d Thomas shemond[es] surgeon of my lord G[e]n[era]ll[es] Reg[imen]t of horse for 14 days pay	8	8	0
3072	tr	27	p[ai]d Cheyny fuller late prisoner in oxford for who was leifft[enant] of Cap[tain] Hailes troop for a mo[nths] pay uppon accompt of the arrears	25	4	0
3073	tr	15	p[ai]d Richard Thurston surgeon of late Coll[onel] Goodwins Regi[men]t for 14 days pay	8	8	0
3074	tr	18	p[ai]d Isaac smith Chirurgion & lawrence southerne provost marshall of Coll[onel] Jo[hn] midletons Regi[men]t for 7 days	7	14	0
3075	tr		p[ai]d Jo[hn] overton dragon[er] late prisoner in Oxford uppon accompt of his arrears	2	2	-
3076	tr	181	p[ai]d sergeant major ulrich for 7 days pay of his troope	58	12	6
3077	tr	128	p[ai]d Coll[onel] dalbier the like  for his troope	46	18	0
3078	tr	194	p[ai]d Coll[onel] Hans Beer for his owne paie for 3 week[es]	103	19	0
3079	tr	159	p[ai]d C[aptain] Rob[er]t Hardy for 7 days for his troop of dragoon[er]s	48	16	6
3080	tr		p[ai]d nicholas Coake assistant to the leifft[enant] g[e]n[era]ll of the ordinance for his pay uppon accompt	10	0	0
3081	tr	22	p[ai]d m[istres]s Gertrude De Boys toward[es] the arrears due to mons[iuer] de Boys her husband as quart[er] m[aste]r g[e]n[era]ll of the foot	34	10	0
3082	tr	17	p[ai]d Jam[es] swright surgeon to S[i]r w[illia]m Balfours Regi[men]t of horse for 3 week[es] pay	12	12	0
3083	tr		p[ai]d daniell Prescot in full part of a warr[an]t of 15.2.6. dat[ed] 6 march 1642	5	2	6
3084	tr	154	p[ai]d Jeconiah Abercromy for 7 days pat for Capt[ain] dundasse his compa[ny] of drago[ons]	40	8	0
3085	tr	24	p[ai]d Coll[onel] Tho[mas] Essex toward[es] his arears uppon accompt	50	0	0
3086	tr	186	p[ai]d C[aptain] James Innes for 7 dayes pay for his troope	73	6	6
3087	tr	187	p[ai]d Cap[tain] Hugh Phillips, w[illia]m Botteler & Tho[mas] wolling 3 capt[ains] of Coll[onel] Cholmlies Regi[men]t for 7 days pay	15	15	0
3088	tr	75	p[ai]d Coll[onel] John meldrom for his troop & officers of his Regi[men]t	182	17	-
3089	tr	18	p[ai]d Coll[onel] Jams sheffeild for 7 days for his troop	99	11	-
3090	tr	176	p[ai]d divers scot[es] officers reformados for 7 days pay as by [th]e warr[an]t	182	17	6
